time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/n_updates,train/clip_range,train/loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,eval/mean_reward,eval/mean_ep_length
125,256000,118.5,3.48,4025,63,0.009521484375,-0.4803447388112545,496,0.2,0.13689923286437988,0.2622365700080991,0.784697413444519,-0.0004768579383380711,0.00043004408,0.00025,,
126,258048,117.87,3.57,4026,64,0.0302734375,-0.46173166669905186,500,0.2,0.12828506529331207,0.2738302890211344,0.7928630709648132,-0.0013552719610743225,0.0013268095,0.00025,,
127,260096,117.25,3.53,4028,64,0.032958984375,-0.5617201887071133,504,0.2,0.12961913645267487,0.23855196963995695,0.8316783905029297,-0.0015933412068989128,0.001950125,0.00025,,
128,262144,117.4,3.48,4030,65,0.0218505859375,-0.5544139482080936,508,0.2,0.1365736424922943,0.251707692630589,0.8367257118225098,-0.0020016320631839335,0.0023768328,0.00025,,
129,264192,116.95,3.49,4032,65,0.015869140625,-0.5776121914386749,512,0.2,0.11354684084653854,0.24470621813088655,0.7991671562194824,-0.00026270581292919815,0.0011379034,0.00025,,
130,266240,117.08,3.52,4034,65,0.0146484375,-0.6024840176105499,516,0.2,0.10935455560684204,0.24229918513447046,0.8262976408004761,-0.00038864885573275387,0.0019490796,0.00025,,
131,268288,118.63,3.64,4036,66,0.040283203125,-0.565422285348177,520,0.2,0.1453200727701187,0.31773717142641544,0.7870135307312012,-0.001889086706796661,0.002267706,0.00025,,
132,270336,118.93,3.65,4037,66,0.0201416015625,-0.5615049563348293,524,0.2,0.11339250206947327,0.22274188045412302,0.8448619842529297,-0.001531146903289482,0.0024034071,0.00025,,
133,272384,119.29,3.65,4039,67,0.010009765625,-0.5698705166578293,528,0.2,0.11589384078979492,0.26000899262726307,0.8374446630477905,-0.0013343629689188674,0.0017840436,0.00025,,
134,274432,119.84,3.71,4041,67,0.009033203125,-0.5954519845545292,532,0.2,0.10396499186754227,0.2624272257089615,0.8371182680130005,-0.00036966646439395845,0.0016500828,0.00025,,
135,276480,121.46,3.79,4042,68,0.0184326171875,-0.5355921629816294,536,0.2,0.09292005747556686,0.2344087576493621,0.8386968374252319,-0.00035553809721022844,0.0024948758,0.00025,,
136,278528,122.6,3.79,4044,68,0.0032958984375,-0.5611376166343689,540,0.2,0.0870547667145729,0.2124292254447937,0.8551506400108337,-0.0009957440197467804,0.0013253965,0.00025,,
137,280576,122.39,3.79,4045,69,0.0511474609375,-0.5407845582813025,544,0.2,0.09682253003120422,0.23815398570150137,0.859388530254364,-0.0007686613826081157,0.003793646,0.00025,,
138,282624,122.91,3.77,4047,69,0.0103759765625,-0.5983826629817486,548,0.2,0.11264373362064362,0.26423539500683546,0.8389325141906738,-0.0007172896293923259,0.001621762,0.00025,,
139,284672,122.92,3.8,4048,70,0.0118408203125,-0.5864557325839996,552,0.2,0.11764746904373169,0.2478609587997198,0.8050596117973328,-0.0005385001131799072,0.0033381227,0.00025,,
140,286720,122.28,3.78,4050,70,0.020263671875,-0.582833144813776,556,0.2,0.08482734113931656,0.208585973829031,0.841880202293396,-0.000501451941090636,0.0018175344,0.00025,,
