time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
167936,145.12,82,4253,5.74,39,0.5332860946655273,0.24859467148780823,-0.0007806016365066171,-0.5221356675028801,0.2,0.013013069,0.12255859375,0.00025,324,0.4864506870508194,,
169984,148.49,83,4256,5.84,39,0.5957998037338257,0.2146395593881607,0.00014097624807618558,-0.48877857998013496,0.2,0.0025764848,0.0633544921875,0.00025,328,0.4864553287625313,,
172032,149.63,84,4259,6.0,40,0.6435140371322632,0.25744304060935974,0.0011573057126952335,-0.4721751045435667,0.2,0.0029320274,0.054443359375,0.00025,332,0.5421659462153912,,
174080,152.96,85,4262,6.22,40,0.5743699073791504,0.2656073570251465,0.0003289187734480947,-0.5086191147565842,0.2,0.0064133597,0.073486328125,0.00025,336,0.567619826644659,,
176128,151.52,86,4264,6.23,41,0.6232782602310181,0.21740826964378357,-0.002217251225374639,-0.47784960456192493,0.2,0.005195333,0.0545654296875,0.00025,340,0.5150335617363453,,
178176,153.01,87,4267,6.32,41,0.42069798707962036,0.2885323166847229,0.0003684974799398333,-0.46110914647579193,0.2,0.0039471034,0.0242919921875,0.00025,344,0.6288015656173229,,
180224,157.13,88,4268,6.6,42,0.5365594625473022,0.27462804317474365,0.0001115167688112706,-0.45793821290135384,0.2,0.01041922,0.08203125,0.00025,348,0.5913098882883787,,
182272,158.47,89,4277,6.65,42,0.5725833177566528,0.27857112884521484,-0.0015255937178153545,-0.42678975500166416,0.2,0.0039261384,0.047607421875,0.00025,352,0.5838538650423288,,
184320,161.52,90,4272,6.83,43,0.5100126266479492,0.2554425597190857,-0.003109178622253239,-0.4197899345308542,0.2,0.0026558053,0.0325927734375,0.00025,356,0.5709332302212715,,
186368,164.47,91,4279,7.03,43,0.5191747546195984,0.2218097448348999,0.0005789005081169307,-0.4148210883140564,0.2,0.0035269381,0.0855712890625,0.00025,360,0.509545324370265,,
188416,166.98,92,4284,7.15,43,0.49986541271209717,0.31461232900619507,-0.002058295358438045,-0.3936384115368128,0.2,0.003510728,0.0235595703125,0.00025,364,0.7162842527031898,,
190464,170.7,93,4292,7.33,44,0.3985804319381714,0.22094598412513733,-0.0008910566684789956,-0.35978743992745876,0.2,0.00389584,0.0396728515625,0.00025,368,0.4772171303629875,,
192512,171.32,94,4290,7.32,44,0.5490427017211914,0.21066273748874664,0.006721420999383554,-0.42319138906896114,0.2,0.011960825,0.119873046875,0.00025,372,0.4989717248827219,,
194560,174.42,95,4294,7.45,45,0.4865154027938843,0.328725129365921,-0.0007520040380768478,-0.4080959651619196,0.2,0.0038578778,0.05419921875,0.00025,376,0.6294769607484341,,
196608,177.9,96,4300,7.62,45,0.6092957854270935,0.2406085729598999,-0.0015823934809304774,-0.34314904920756817,0.2,0.0015933644,0.02001953125,0.00025,380,0.5661945380270481,,
198656,180.65,97,4305,7.78,46,0.5212198495864868,0.3561875820159912,-0.0023055353813106194,-0.3424032833427191,0.2,0.0032741996,0.035888671875,0.00025,384,0.6359458900988102,,
200000,,,,,,0.4020536541938782,0.2433505356311798,9.733508341014385e-05,-0.33088080026209354,0.2,0.0019481484,0.0240478515625,0.00025,388,0.6349616814404726,20.0,364.45
200704,188.7,98,3761,8.34,53,,,,,,,,,,,,
202752,191.01,99,3764,8.52,53,0.42239439487457275,0.3784369230270386,-0.0024379530805163085,-0.3466114867478609,0.2,0.002776513,0.047119140625,0.00025,392,0.8427251502871513,,
204800,199.65,100,3770,9.04,54,0.49187272787094116,0.3191187083721161,0.002335194032639265,-0.33051592111587524,0.2,0.0065391827,0.0618896484375,0.00025,396,0.634834811091423,,
206848,201.53,101,3775,9.18,54,0.6059998869895935,0.3668062090873718,-0.003775934368604794,-0.2723223567008972,0.2,0.0029173046,0.02392578125,0.00025,400,0.7423424683511257,,
208896,207.94,102,3782,9.6,55,0.3305492401123047,0.2820946276187897,-0.0008025184506550431,-0.24049191642552614,0.2,0.0023253758,0.0284423828125,0.00025,404,0.6238344460725784,,
210944,209.0,103,3793,9.67,55,0.4095807671546936,0.4577831029891968,0.0016570751031395048,-0.2701511513441801,0.2,0.0032065678,0.03857421875,0.00025,408,0.9029736258089542,,
212992,217.42,104,3800,10.14,56,0.5308849215507507,0.2059740573167801,0.0011021796090062708,-0.22815982718020678,0.2,0.0071880943,0.042236328125,0.00025,412,0.48278692550957203,,
215040,221.63,105,3810,10.34,56,0.5825003385543823,0.2629019021987915,-0.002428173058433458,-0.2680371394380927,0.2,0.0040200236,0.043212890625,0.00025,416,0.6304990537464619,,
217088,226.86,106,3817,10.73,56,0.5359032154083252,0.23707681894302368,-0.001507381268311292,-0.2797085642814636,0.2,0.0040978733,0.042236328125,0.00025,420,0.581233162432909,,
219136,230.15,107,3822,10.94,57,0.5682777762413025,0.2932419180870056,0.0001815115101635456,-0.2687757685780525,0.2,0.004009402,0.0511474609375,0.00025,424,0.7282272912561893,,
221184,232.87,108,3828,11.14,57,0.47024965286254883,0.2533303499221802,0.0024331070599146187,-0.24667578842490911,0.2,0.0022210267,0.042724609375,0.00025,428,0.6262231506407261,,
223232,235.26,109,3835,11.26,58,0.35859227180480957,0.3803548514842987,-0.0024513790267519653,-0.25576258171349764,0.2,0.0047751404,0.0523681640625,0.00025,432,0.7491505220532417,,
225280,241.45,110,3841,11.57,58,0.522357702255249,0.26403138041496277,-0.0014366176474140957,-0.22835086658596992,0.2,0.0019782449,0.0167236328125,0.00025,436,0.630523081868887,,
227328,244.03,111,3847,11.66,59,0.6476507186889648,0.30126893520355225,-0.002320230007171631,-0.23815366998314857,0.2,0.0021064966,0.0242919921875,0.00025,440,0.6119678728282452,,
229376,242.81,112,3852,11.65,59,0.6289730072021484,0.21162709593772888,-0.00312771626340691,-0.215659586712718,0.2,0.0023493362,0.0228271484375,0.00025,444,0.5735249556601048,,
231424,247.04,113,3859,11.81,59,0.4901733994483948,0.3225194215774536,-0.0019402737088967115,-0.2177736908197403,0.2,0.0013139711,0.010498046875,0.00025,448,0.7482632845640182,,
233472,243.41,114,3862,11.7,60,0.5075520277023315,0.4375841021537781,-0.0034441441239323467,-0.2688105646520853,0.2,0.00830352,0.046875,0.00025,452,0.8501092903316021,,
235520,247.96,115,3866,11.99,60,0.38230419158935547,0.3280286490917206,-0.00018957568681798875,-0.22986030112951994,0.2,0.0022049795,0.02880859375,0.00025,456,0.6727198883891106,,
237568,248.54,116,3871,12.07,61,0.615278422832489,0.25821009278297424,-0.0015765828429721296,-0.25862101651728153,0.2,0.0046283277,0.04150390625,0.00025,460,0.5388400387018919,,
239616,250.89,117,3880,12.31,61,0.4916524887084961,0.3206382095813751,-0.0013065223465673625,-0.23527758195996284,0.2,0.0012363294,0.025146484375,0.00025,464,0.7221721485257149,,
241664,251.12,118,3884,12.44,62,0.6215848326683044,0.3434005081653595,-0.0017555902304593474,-0.2373191937804222,0.2,0.0020208769,0.0189208984375,0.00025,468,0.6755457855761051,,
243712,252.98,119,3893,12.66,62,0.5874832272529602,0.3215997815132141,-0.0014362994697876275,-0.25368214026093483,0.2,0.0023017828,0.0260009765625,0.00025,472,0.6561508662998676,,
245760,254.17,120,3902,12.72,62,0.5136123895645142,0.4653734564781189,-0.0010506194084882736,-0.23523069266229868,0.2,0.0024545835,0.0303955078125,0.00025,476,0.9103938825428486,,
247808,253.37,121,3908,12.82,63,0.465740442276001,0.32487961649894714,-0.0015910024230834097,-0.2878878694027662,0.2,0.0024279598,0.0540771484375,0.00025,480,0.6851795464754105,,
249856,247.78,122,3913,12.53,63,0.5407205820083618,0.4434988796710968,0.0009481267479714006,-0.2635027039796114,0.2,0.004286891,0.0411376953125,0.00025,484,0.9928311817348003,,
251904,246.86,123,3918,12.52,64,0.6103335618972778,0.3423019349575043,-0.0022572099114768207,-0.22149899695068598,0.2,0.0044583664,0.029052734375,0.00025,488,0.7116450183093548,,
