time/fps,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
293,1100,-17.8,297326,1014,1618.67,0.01,0.0001,71831,0.011014662683010101,,
292,1104,-17.77,298945,1021,1624.63,0.01,0.0001,72236,0.01566636562347412,,
,,,300000,,,0.01,0.0001,72499,0.008547871373593807,1704.9,-17.1
286,1108,-17.65,300664,1049,1638.64,0.01,0.0001,72665,0.01249255146831274,,
286,1112,-17.72,302291,1056,1634.49,0.01,0.0001,73072,0.0061998795717954636,,
286,1116,-17.78,303824,1062,1640.29,0.01,0.0001,73455,0.01236453652381897,,
285,1120,-17.77,305413,1068,1651.38,0.01,0.0001,73853,0.02361125685274601,,
285,1124,-17.67,307229,1074,1664.61,0.01,0.0001,74307,0.0038881415966898203,,
285,1128,-17.74,308916,1081,1666.45,0.01,0.0001,74728,0.012877298519015312,,
285,1132,-17.68,310730,1088,1674.89,0.01,0.0001,75182,0.007209669332951307,,
285,1136,-17.6,312306,1094,1674.88,0.01,0.0001,75576,0.02173757180571556,,
285,1140,-17.7,313934,1100,1671.09,0.01,0.0001,75983,0.011482163332402706,,
285,1144,-17.72,315705,1107,1669.5,0.01,0.0001,76426,0.011018844321370125,,
284,1148,-17.8,317310,1113,1668.07,0.01,0.0001,76827,0.014915075153112411,,
284,1152,-17.73,318998,1120,1678.05,0.01,0.0001,77249,0.012531869113445282,,
284,1156,-17.74,320561,1126,1681.17,0.01,0.0001,77640,0.024091243743896484,,
284,1160,-17.74,322184,1132,1676.33,0.01,0.0001,78045,0.007652129512280226,,
284,1164,-17.73,323790,1138,1678.43,0.01,0.0001,78447,0.016722269356250763,,
284,1168,-17.62,325589,1145,1684.37,0.01,0.0001,78897,0.021565910428762436,,
284,1172,-17.68,327256,1151,1676.49,0.01,0.0001,79313,0.010992806404829025,,
283,1176,-17.66,329032,1158,1676.37,0.01,0.0001,79757,0.013949939049780369,,
