time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,rollout/ep_rew_mean,train/learning_rate,train/n_updates,rollout/ep_len_mean,train/clip_range,train/value_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
5521408,6454,2696,855,-0.002946586362668313,0.6844186782836914,-1.0043461844325066,0.277099609375,0.0433722659945488,-9.54,5.288000000000001e-05,10780,3940.78,0.021152000000000004,0.150701982434839,0.000596732,,
5523456,6456,2697,855,-0.002206314602517523,0.5685132741928101,-0.9764593504369259,0.293701171875,0.06539551913738251,-9.64,5.2806857142857155e-05,10784,3932.57,0.021122742857142864,0.1821799767203629,0.00076622714,,
5525504,6458,2698,855,-0.0014571476931450889,0.6304386854171753,-0.9679009430110455,0.3072509765625,0.05693298578262329,-9.74,5.2733714285714274e-05,10788,3895.01,0.02109348571428571,0.17588404845446348,0.00076347915,,
5527552,6461,2699,855,-0.0026718086446635425,0.5912514925003052,-0.968501353636384,0.25732421875,0.05969655513763428,-9.74,5.266057142857142e-05,10792,3899.28,0.02106422857142857,0.183284149505198,0.00047850772,,
5529600,6463,2700,855,-0.0022265325533226132,0.5645653009414673,-0.9951800107955933,0.2347412109375,0.0824347734451294,-9.74,5.2587428571428566e-05,10796,3899.28,0.021034971428571428,0.23242230573669076,0.0004763134,,
5531648,6465,2701,855,-0.001725771086057648,0.5944410562515259,-0.9960807207971811,0.2916259765625,0.06283953785896301,-9.75,5.251428571428571e-05,10800,3902.77,0.021005714285714284,0.1869220556691289,0.0005883839,,
5533696,6467,2702,855,-0.0019518381741363555,0.5995213389396667,-1.0020974837243557,0.2882080078125,0.08163878321647644,-9.76,5.244114285714285e-05,10804,3904.64,0.020976457142857143,0.195946108084172,0.0006910818,,
5535744,6469,2703,855,-0.0020642477757064626,0.5692510008811951,-0.9922521151602268,0.29736328125,0.08170026540756226,-9.88,5.2368e-05,10808,3906.79,0.0209472,0.2367415176704526,0.00069000904,,
5537792,6471,2704,855,-0.0019881903717759997,0.569869875907898,-0.9674785453826189,0.28125,0.04922500252723694,-9.93,5.2294857142857143e-05,10812,3902.64,0.02091794285714286,0.15681580896489322,0.0006625189,,
5539840,6473,2705,855,-0.002269155505928211,0.6087528467178345,-0.9810704123228788,0.284912109375,0.08045938611030579,-9.93,5.222171428571429e-05,10816,3902.64,0.020888685714285718,0.21699599223211408,0.0006540433,,
5541888,6476,2706,855,-0.00280528275470715,0.6458021402359009,-0.9818036314100027,0.2503662109375,0.08894266188144684,-9.87,5.2148571428571436e-05,10820,3907.25,0.020859428571428574,0.21324626868590713,0.00060281344,,
5543936,6478,2707,855,-0.0024244849482784048,0.6290313005447388,-0.9872396290302277,0.27197265625,0.06520509719848633,-9.75,5.207542857142858e-05,10824,3937.11,0.020830171428571433,0.18436378566548228,0.00061761343,,
5545984,6480,2708,855,-0.002205091077485122,0.6497703790664673,-1.0199925191700459,0.2840576171875,0.08132363855838776,-9.72,5.200228571428572e-05,10828,3932.94,0.02080091428571429,0.19166502356529236,0.0005266237,,
5548032,6482,2709,855,-0.0016963140369625762,0.5837787389755249,-0.9706748574972153,0.2933349609375,0.07926646620035172,-9.76,5.192914285714287e-05,10832,3923.31,0.02077165714285715,0.22162576485425234,0.00061835314,,
5550080,6484,2710,855,-0.0026786079979501665,0.6117374300956726,-0.9942694138735533,0.2674560546875,0.08814984560012817,-9.71,5.185600000000001e-05,10836,3927.26,0.020742400000000008,0.18321987614035606,0.0005734695,,
5552128,6487,2711,855,-0.001778198085958138,0.7026638388633728,-0.9709242340177298,0.275634765625,0.050866201519966125,-9.71,5.178285714285713e-05,10840,3930.75,0.020713142857142854,0.14438676834106445,0.000633163,,
5554176,6489,2712,855,-0.0017702715413179249,0.6875520348548889,-0.9852478951215744,0.3035888671875,0.05603456497192383,-9.73,5.170971428571428e-05,10844,3933.46,0.020683885714285713,0.16037506982684135,0.00063259655,,
5556224,6491,2713,855,-0.002980613149702549,0.6731740236282349,-0.984335919842124,0.2398681640625,0.05873677134513855,-9.67,5.1636571428571424e-05,10848,3950.13,0.02065462857142857,0.17231318075209856,0.0004761304,,
5558272,6493,2714,855,-0.001677791187830735,0.5811835527420044,-0.9697386268526316,0.3226318359375,0.0732232853770256,-9.69,5.1563428571428564e-05,10852,3948.99,0.02062537142857143,0.19871117267757654,0.0008127049,,
5560320,6495,2715,855,-0.001825730927521363,0.6270297765731812,-0.9963974617421627,0.2822265625,0.09716685861349106,-9.76,5.149028571428571e-05,10856,3936.82,0.020596114285714284,0.250649509485811,0.0006626829,,
5562368,6497,2716,856,-0.001929934398503974,0.5834550857543945,-0.9839344825595617,0.2933349609375,0.08917385339736938,-9.73,5.1417142857142856e-05,10860,3940.43,0.020566857142857144,0.23275278927758336,0.00073256955,,
5564416,6500,2717,856,-0.0019267424650024623,0.593733549118042,-0.985968379303813,0.26904296875,0.0773659348487854,-9.85,5.1344e-05,10864,3926.74,0.020537600000000003,0.2268690881319344,0.0006305675,,
5566464,6502,2718,856,-0.001991256605833769,0.6443209648132324,-0.9754351004958153,0.292236328125,0.0483582429587841,-9.78,5.127085714285715e-05,10868,3941.4,0.02050834285714286,0.1769790919497609,0.0007236383,,
5568512,6504,2719,856,-0.002141707460395992,0.624435305595398,-0.9884491376578808,0.2386474609375,0.10077057033777237,-9.78,5.1197714285714294e-05,10872,3941.4,0.02047908571428572,0.20255332021042705,0.00042128933,,
5570560,6506,2720,856,-0.0024313728499691933,0.6696089506149292,-0.9884900227189064,0.2840576171875,0.06714992225170135,-9.82,5.112457142857144e-05,10876,3943.49,0.020449828571428574,0.18110061949118972,0.000668787,,
5572608,6508,2721,856,-0.001970677971257828,0.6404687166213989,-1.0067622046917677,0.2601318359375,0.08236417919397354,-9.84,5.105142857142858e-05,10880,3942.1,0.020420571428571434,0.21420215582475066,0.00052045216,,
5574656,6510,2722,856,-0.0013713209773413837,0.5987563133239746,-0.9888388942927122,0.28076171875,0.0797332376241684,-9.77,5.0978285714285725e-05,10884,3946.01,0.020391314285714293,0.1983236214146018,0.00064788177,,
5576704,6513,2723,856,-0.0026085290301125497,0.6569509506225586,-0.9911106415092945,0.29150390625,0.0841396376490593,-9.81,5.090514285714287e-05,10888,3937.17,0.02036205714285715,0.21174795599654317,0.00062669266,,
5578752,6515,2724,856,-0.0008668220543768257,0.6344996094703674,-1.0028433091938496,0.332275390625,0.10728541761636734,-9.8,5.083199999999999e-05,10892,3929.03,0.020332799999999998,0.2689292812719941,0.0008921908,,
5580800,6517,2725,856,-0.0018220529018435627,0.6230683326721191,-0.9948509689420462,0.2991943359375,0.08188051730394363,-9.69,5.0758857142857136e-05,10896,3950.57,0.020303542857142854,0.225420244038105,0.0006094555,,
5582848,6519,2726,856,-0.002114051138050854,0.6447116136550903,-1.003143372014165,0.3048095703125,0.07442884147167206,-9.7,5.068571428571428e-05,10900,3951.21,0.020274285714285713,0.18143776338547468,0.000645236,,
