time/episodes,time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/n_updates,train/loss
1028,750,221397,294,0.7808169699999999,891.07,-20.67,,,0.0001,30349,0.00669406121596694
1032,750,222240,296,0.7799824,888.18,-20.69,,,0.0001,30559,0.004777112044394016
1036,749,223109,297,0.77912209,889.22,-20.7,,,0.0001,30777,0.014516787603497505
1040,749,223976,298,0.7782637600000001,890.4,-20.68,,,0.0001,30993,0.0051009939052164555
1044,748,224839,300,0.77740939,890.47,-20.67,,,0.0001,31209,0.006816308945417404
1048,748,225820,301,0.7764382000000001,893.35,-20.63,,,0.0001,31454,0.015330691821873188
1052,747,226790,303,0.7754778999999999,895.8,-20.63,,,0.0001,31697,0.021411500871181488
1056,747,227707,304,0.7745700699999999,896.54,-20.62,,,0.0001,31926,0.008854489773511887
1060,746,228798,306,0.7734899799999999,905.59,-20.58,,,0.0001,32199,0.007225532550364733
1064,746,229670,307,0.7726267,904.55,-20.58,,,0.0001,32417,0.009620711207389832
1068,745,230613,309,0.7716931300000001,910.2,-20.57,,,0.0001,32653,0.007223475258797407
1072,745,231492,310,0.77082292,909.09,-20.58,,,0.0001,32872,0.015135138295590878
1076,744,232392,311,0.7699319200000001,909.81,-20.57,,,0.0001,33097,0.005406390409916639
1080,744,233235,313,0.7690973499999999,908.02,-20.59,,,0.0001,33308,0.005923154763877392
1084,743,234189,314,0.7681528900000001,912.65,-20.57,,,0.0001,33547,0.015496918000280857
1088,743,235033,316,0.76731733,912.72,-20.57,,,0.0001,33758,0.01732788234949112
1092,742,235987,317,0.7663728700000001,916.61,-20.57,,,0.0001,33996,0.011476105079054832
1096,742,236830,318,0.7655382999999999,914.69,-20.57,,,0.0001,34207,0.010483307763934135
1100,741,237744,320,0.7646334400000001,915.29,-20.57,,,0.0001,34435,0.010307678952813148
1104,741,238771,322,0.76361671,921.58,-20.54,,,0.0001,34692,0.004898093640804291
1108,740,239673,323,0.76272373,921.93,-20.54,,,0.0001,34918,0.0032033449970185757
1112,740,240563,324,0.7618426299999999,922.45,-20.55,,,0.0001,35140,0.008287008851766586
1116,740,241463,326,0.76095163,924.8,-20.55,,,0.0001,35365,0.006110138725489378
1120,739,242360,327,0.7600636000000001,925.67,-20.54,,,0.0001,35589,0.027280062437057495
1124,739,243259,329,0.7591735899999998,930.21,-20.52,,,0.0001,35814,0.0052386438474059105
1128,738,244150,330,0.7582914999999999,932.93,-20.51,,,0.0001,36037,0.010400813072919846
1132,738,244957,331,0.7574925699999999,931.32,-20.53,,,0.0001,36239,0.0068686483427882195
1136,738,245831,333,0.75662731,930.92,-20.52,,,0.0001,36457,0.009563732892274857
1140,737,246690,334,0.7557768999999999,930.7,-20.53,,,0.0001,36672,0.009053308516740799
1144,737,247591,335,0.7548849100000001,931.96,-20.53,,,0.0001,36897,0.010167254135012627
1148,736,248483,337,0.75400183,928.49,-20.56,,,0.0001,37120,0.013695990666747093
1152,736,249432,338,0.75306232,927.5,-20.56,,,0.0001,37357,0.005372368730604649
1156,735,250268,340,0.75223468,924.28,-20.58,,,0.0001,37566,0.013503152877092361
