time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
6028,99.12,247808,296.48,41,121,0.00390625,0.2791362404823303,1832.74560546875,480,-0.2788127698004246,-0.00018064180039800704,3435.7210083007812,0.2,0.00025,0.0013561124,,
6029,98.64,249856,294.56,41,122,0.0391845703125,0.2591054439544678,2023.4306640625,484,-0.32628987915813923,0.000262337300227955,3441.551971435547,0.2,0.00025,0.0060896957,,
6029,98.4,251904,293.6,41,123,0.00244140625,0.19442850351333618,2067.13671875,488,-0.356759250164032,-0.000296296231681481,3891.1122283935547,0.2,0.00025,0.00048737798,,
6030,98.16,253952,292.64,42,124,0.0177001953125,0.23471921682357788,1797.2166748046875,492,-0.32977716997265816,-0.0010939044004771858,3716.123550415039,0.2,0.00025,0.0026045202,,
6031,97.92,256000,291.68,42,125,0.02294921875,0.17181110382080078,1803.708740234375,496,-0.35013993084430695,0.00031402826425619423,4108.926620483398,0.2,0.00025,0.001438389,,
6031,96.96,258048,287.84,42,126,0.0517578125,0.2534266710281372,1914.8968505859375,500,-0.3279323410242796,-0.001995615166379139,4167.069061279297,0.2,0.00025,0.0021458277,,
6032,96.96,260096,287.84,43,127,0.06591796875,0.25225430727005005,1865.8096923828125,504,-0.34793377108871937,0.0010189295571763068,3935.024932861328,0.2,0.00025,0.006393484,,
6032,97.2,262144,288.8,43,128,0.0020751953125,0.23561924695968628,2158.4892578125,508,-0.3522688765078783,0.0003653552266769111,3837.738235473633,0.2,0.00025,0.0010690913,,
6033,96.96,264192,287.84,43,129,0.02783203125,0.2694564461708069,1699.71337890625,512,-0.36841955594718456,-0.00017180806025862694,3712.0942993164062,0.2,0.00025,0.004527613,,
6033,96.96,266240,287.84,44,130,0.0322265625,0.2962803244590759,1433.2115478515625,516,-0.40100300684571266,6.944312190171331e-05,3019.7747344970703,0.2,0.00025,0.0043943278,,
6034,96.48,268288,285.92,44,131,0.0740966796875,0.3040533661842346,1628.53125,520,-0.36607098393142223,0.0018451296928105876,2805.2538146972656,0.2,0.00025,0.0052170325,,
6035,96.72,270336,286.88,44,132,0.05224609375,0.3055981397628784,1663.5111083984375,524,-0.5229568872600794,0.0030840511608403176,3616.6648712158203,0.2,0.00025,0.00096902123,,
6035,96.72,272384,286.88,45,133,0.022216796875,0.29866737127304077,1246.008544921875,528,-0.47485585883259773,0.0004905050154775381,2679.663833618164,0.2,0.00025,0.0012742244,,
6036,96.96,274432,287.84,45,134,0.0299072265625,0.3409165143966675,1513.0634765625,532,-0.5065196510404348,0.0006398773984983563,3110.9911499023438,0.2,0.00025,0.0008149437,,
6036,96.96,276480,287.84,45,135,0.0457763671875,0.28436917066574097,1739.1033935546875,536,-0.4983385093510151,2.233679697383195e-05,3320.541946411133,0.2,0.00025,0.004646804,,
6037,97.2,278528,288.8,46,136,0.04052734375,0.3005247712135315,1358.4600830078125,540,-0.4528874959796667,0.00025052070850506425,2784.4314880371094,0.2,0.00025,0.005819422,,
