time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
3868,4.82,239616,61,128.39,117,-0.0020032499451190233,464,0.00025,0.005166536,0.2,0.7245903015136719,0.44416810013353825,0.20258331298828125,0.049560546875,-0.5109578557312489,,
3870,4.96,241664,62,131.01,118,-0.002418516087345779,468,0.00025,0.0031633922,0.2,0.5913915634155273,0.4788034725934267,0.1876460164785385,0.03466796875,-0.48404521122574806,,
3873,5.07,243712,62,131.77,119,-0.0020483506959863007,472,0.00025,0.008713398,0.2,0.7061161994934082,0.3501989208161831,0.14002257585525513,0.0726318359375,-0.49201107770204544,,
3876,5.14,245760,63,131.67,120,-0.000561684079002589,476,0.00025,0.004187476,0.2,0.6923072338104248,0.4843045398592949,0.21375851333141327,0.0745849609375,-0.4813324846327305,,
3878,5.24,247808,63,132.31,121,-0.005094632593682036,480,0.00025,0.0052684164,0.2,0.6347146034240723,0.4851358663290739,0.20264385640621185,0.0511474609375,-0.48374480195343494,,
3879,5.28,249856,64,133.23,122,-0.0035671217483468354,484,0.00025,0.004943155,0.2,0.7187248468399048,0.41056142933666706,0.19183284044265747,0.0557861328125,-0.4568207450211048,,
3881,5.34,251904,64,134.56,123,-0.0003177969774696976,488,0.00025,0.004382899,0.2,0.620957612991333,0.42522754706442356,0.19305488467216492,0.0460205078125,-0.4723356794565916,,
3883,5.35,253952,65,134.14,124,-0.002372193441260606,492,0.00025,0.002532443,0.2,0.6610516309738159,0.44543820805847645,0.20197656750679016,0.0401611328125,-0.45929326117038727,,
3885,5.43,256000,65,136.24,125,-0.0013926489191362634,496,0.00025,0.008797999,0.2,0.7066723704338074,0.4061311297118664,0.16989828646183014,0.0501708984375,-0.4564228970557451,,
3888,5.36,258048,66,134.68,126,-0.003458477382082492,500,0.00025,0.005134802,0.2,0.7393354773521423,0.36312537640333176,0.16650080680847168,0.025634765625,-0.4785214141011238,,
3890,5.43,260096,66,135.7,127,-0.003200930019374937,504,0.00025,0.005901478,0.2,0.7045003175735474,0.4033624939620495,0.15428709983825684,0.0394287109375,-0.4809400122612715,,
3891,5.47,262144,67,137.36,128,-0.0010317311971448362,508,0.00025,0.009255681,0.2,0.6993394494056702,0.35598838329315186,0.19169150292873383,0.0733642578125,-0.46001774817705154,,
3893,5.56,264192,67,139.47,129,-0.0027876868552993983,512,0.00025,0.0071922904,0.2,0.662123441696167,0.458463579416275,0.22111065685749054,0.0721435546875,-0.481990784406662,,
3894,5.54,266240,68,139.51,130,-0.00035325005592312664,516,0.00025,0.0030160253,0.2,0.7844059467315674,0.3916662111878395,0.18071334064006805,0.02880859375,-0.47345750965178013,,
3896,5.58,268288,68,140.92,131,-0.0018519938457757235,520,0.00025,0.0055079414,0.2,0.7387104630470276,0.44153050892055035,0.18065164983272552,0.05908203125,-0.4697456229478121,,
3898,5.65,270336,69,141.93,132,-0.0018321445968467742,524,0.00025,0.009306156,0.2,0.7335698008537292,0.43062242306768894,0.2086232751607895,0.0762939453125,-0.44269070215523243,,
3899,5.7,272384,69,144.77,133,-0.0018675345345400274,528,0.00025,0.0043234583,0.2,0.7464380264282227,0.4231137428432703,0.17203514277935028,0.0672607421875,-0.48511609993875027,,
3900,5.84,274432,70,147.34,134,-0.00536471392842941,532,0.00025,0.006035023,0.2,0.779943585395813,0.42404671385884285,0.18045181035995483,0.0595703125,-0.4892444461584091,,
3902,5.8,276480,70,146.36,135,-0.0022690901532769203,536,0.00025,0.004797154,0.2,0.7132196426391602,0.50022136233747,0.23582980036735535,0.0755615234375,-0.4749935045838356,,
3905,5.78,278528,71,146.46,136,-0.0031939606415107846,540,0.00025,0.008493435,0.2,0.7165347933769226,0.4882940761744976,0.2331453412771225,0.084228515625,-0.4592701308429241,,
3906,5.84,280576,71,147.88,137,-0.00285431370139122,544,0.00025,0.007035506,0.2,0.7552306652069092,0.421786492690444,0.19654244184494019,0.042724609375,-0.4564515817910433,,
3907,5.99,282624,72,150.28,138,-0.003206243767635897,548,0.00025,0.005819095,0.2,0.7864978313446045,0.37639850191771984,0.1509864330291748,0.0791015625,-0.47612015530467033,,
3909,5.96,284672,72,148.93,139,-0.0032305183704011142,552,0.00025,0.0044603045,0.2,0.7818278074264526,0.42083808593451977,0.20716595649719238,0.0321044921875,-0.45909482799470425,,
3911,5.95,286720,73,148.49,140,-0.0010110667208209634,556,0.00025,0.004095788,0.2,0.7386851906776428,0.5594637636095285,0.23802131414413452,0.0340576171875,-0.4770523067563772,,
3912,5.98,288768,73,146.93,141,-0.0021385922736953944,560,0.00025,0.0042156703,0.2,0.7500553727149963,0.508694613352418,0.21177148818969727,0.04052734375,-0.4404623620212078,,
