time/fps,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/n_updates,train/loss
736,914.45,1140,0.7541047900000001,337,248379,-20.5,,,0.0001,37094,0.015047725290060043
735,919.1,1144,0.7531098399999999,339,249384,-20.51,,,0.0001,37345,0.007624407298862934
735,922.22,1148,0.75216637,340,250337,-20.5,,,0.0001,37584,0.01860891282558441
734,921.7,1152,0.75130012,341,251212,-20.49,,,0.0001,37802,0.018160302191972733
734,925.97,1156,0.75034081,343,252181,-20.51,,,0.0001,38045,0.009186925366520882
734,927.65,1160,0.74943001,344,253101,-20.51,,,0.0001,38275,0.016532449051737785
733,933.48,1164,0.74845981,346,254081,-20.49,,,0.0001,38520,0.032959409058094025
733,933.18,1168,0.7475539600000001,347,254996,-20.48,,,0.0001,38748,0.005701233167201281
732,932.46,1172,0.7467134500000001,349,255845,-20.5,,,0.0001,38961,0.012004122138023376
732,935.1,1176,0.7457482,350,256820,-20.5,,,0.0001,39204,0.0068839783780276775
732,934.85,1180,0.7448958099999999,351,257681,-20.49,,,0.0001,39420,0.009255563840270042
731,937.67,1184,0.7439770900000001,353,258609,-20.5,,,0.0001,39652,0.010758742690086365
731,939.73,1188,0.74307916,354,259516,-20.5,,,0.0001,39878,0.010841569863259792
731,939.65,1192,0.74220004,356,260404,-20.49,,,0.0001,40100,0.00691969133913517
730,949.78,1196,0.7411189600000001,357,261496,-20.42,,,0.0001,40373,0.01585533656179905
730,948.78,1200,0.74023192,359,262392,-20.42,,,0.0001,40597,0.0061792246997356415
729,951.54,1204,0.73925083,360,263383,-20.38,,,0.0001,40845,0.005452354904264212
729,946.52,1208,0.73841527,362,264227,-20.4,,,0.0001,41056,0.005070747807621956
729,946.55,1212,0.73758664,363,265064,-20.4,,,0.0001,41265,0.007789580151438713
728,943.91,1216,0.73665406,364,266006,-20.43,,,0.0001,41501,0.019485196098685265
728,941.68,1220,0.73582345,366,266845,-20.45,,,0.0001,41711,0.006273004226386547
728,942.47,1224,0.73489582,367,267782,-20.45,,,0.0001,41945,0.0031999386847019196
727,940.53,1228,0.7340167,369,268670,-20.46,,,0.0001,42167,0.015372125431895256
727,937.38,1232,0.73318708,370,269508,-20.47,,,0.0001,42376,0.010404005646705627
727,939.9,1236,0.7322436099999999,371,270461,-20.48,,,0.0001,42615,0.035699263215065
726,941.69,1240,0.73134469,373,271369,-20.48,,,0.0001,42842,0.01698083057999611
726,935.15,1244,0.73051606,374,272206,-20.49,,,0.0001,43051,0.007414857856929302
726,932.03,1248,0.7296626800000001,376,273068,-20.52,,,0.0001,43266,0.008995561860501766
725,932.57,1252,0.7287786100000001,377,273961,-20.53,,,0.0001,43490,0.009715232998132706
725,930.12,1256,0.72787474,378,274874,-20.51,,,0.0001,43718,0.006118210032582283
725,931.09,1260,0.72693919,380,275819,-20.51,,,0.0001,43954,0.012019881047308445
724,925.74,1264,0.72610066,381,276666,-20.54,,,0.0001,44166,0.003453961107879877
724,926.62,1268,0.7251631299999999,383,277613,-20.54,,,0.0001,44403,0.0019717321265488863
724,926.93,1272,0.7243008400000001,384,278484,-20.53,,,0.0001,44620,0.0062653785571455956
723,923.79,1276,0.7234078599999998,385,279386,-20.54,,,0.0001,44846,0.005965786520391703
723,926.97,1280,0.72247528,387,280328,-20.51,,,0.0001,45081,0.007684180047363043
723,925.02,1284,0.7215991300000001,388,281213,-20.51,,,0.0001,45303,0.007723681628704071
722,925.03,1288,0.72068932,390,282132,-20.49,,,0.0001,45532,0.007618550211191177
722,924.3,1292,0.71982703,391,283003,-20.5,,,0.0001,45750,0.01664782129228115
722,918.2,1296,0.7189033600000001,393,283936,-20.57,,,0.0001,45983,0.00592134241014719
721,914.6,1300,0.71811532,394,284732,-20.58,,,0.0001,46182,0.002880126005038619
721,909.7,1304,0.7172559999999999,395,285600,-20.62,,,0.0001,46399,0.004663000348955393
721,914.31,1308,0.71630956,397,286556,-20.6,,,0.0001,46638,0.025446025654673576
721,915.8,1312,0.7154373700000001,398,287437,-20.58,,,0.0001,46859,0.010506239719688892
