time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,rollout/exploration_rate,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/mean_reward
96904,116,1164,0.75,834,0.7698529999999998,86.62,0.010855494998395443,0.0001,11725,,
97229,116,1168,0.77,832,0.769081125,86.61,0.13036173582077026,0.0001,11807,,
97596,117,1172,0.75,831,0.7682095,86.71,0.003999053966253996,0.0001,11898,,
97889,118,1176,0.76,829,0.7675136250000003,86.7,0.011827554553747177,0.0001,11972,,
98186,118,1180,0.8,828,0.7668082499999997,86.6,0.07896461337804794,0.0001,12046,,
98541,119,1184,0.78,825,0.765965125,85.72,0.012294881045818329,0.0001,12135,,
98892,120,1188,0.8,823,0.7651315000000001,86.23,0.004876160528510809,0.0001,12222,,
99171,120,1192,0.78,821,0.7644688750000003,85.88,0.004539272747933865,0.0001,12292,,
99523,121,1196,0.77,819,0.763632875,85.84,0.004332178737968206,0.0001,12380,,
99884,122,1200,0.79,817,0.7627754999999998,86.2,0.005187640432268381,0.0001,12470,,
100000,,,,,0.7625023750000002,,0.11527256667613983,0.0001,12499,74.15,0.5
100239,126,1204,0.75,794,0.7619323750000001,86.3,0.002846082206815481,0.0001,12559,,
100576,126,1208,0.68,793,0.761132,85.42,0.02633737400174141,0.0001,12643,,
100943,127,1212,0.66,791,0.760260375,85.7,0.017398381605744362,0.0001,12735,,
101305,128,1216,0.66,790,0.759400625,86.02,0.02418813668191433,0.0001,12826,,
101642,128,1220,0.65,788,0.75860025,85.46,0.012770045548677444,0.0001,12910,,
101972,129,1224,0.6,787,0.7578165000000001,85.56,0.026551706716418266,0.0001,12992,,
102309,130,1228,0.59,785,0.757016125,85.54,0.047887690365314484,0.0001,13077,,
102668,131,1232,0.58,783,0.7561635000000001,85.87,0.005484243854880333,0.0001,13166,,
102982,131,1236,0.61,781,0.7554177500000002,86.29,0.002590327290818095,0.0001,13245,,
103300,132,1240,0.6,779,0.7546625000000001,85.92,0.019188372418284416,0.0001,13324,,
103637,133,1244,0.56,778,0.753862125,85.26,0.013927138410508633,0.0001,13409,,
103967,133,1248,0.53,776,0.7530783750000002,85.1,0.15689122676849365,0.0001,13491,,
104297,134,1252,0.5,775,0.7522946249999998,84.7,0.004068853333592415,0.0001,13574,,
104631,135,1256,0.46,773,0.7515013750000002,84.12,0.07639684528112411,0.0001,13657,,
104922,135,1260,0.45,772,0.7508102500000001,83.65,0.001601802185177803,0.0001,13730,,
105302,136,1264,0.44,770,0.74990775,83.98,0.015998098999261856,0.0001,13825,,
105640,137,1268,0.42,768,0.7491050000000001,84.11,0.008622348308563232,0.0001,13909,,
105985,138,1272,0.44,766,0.7482856250000001,83.89,0.027660172432661057,0.0001,13996,,
106345,138,1276,0.46,765,0.7474306250000002,84.56,0.09368271380662918,0.0001,14086,,
106654,139,1280,0.46,764,0.7466967499999999,84.68,0.0032810764387249947,0.0001,14163,,
107051,140,1284,0.46,761,0.745753875,85.1,0.09690045565366745,0.0001,14262,,
107391,141,1288,0.44,760,0.744946375,84.99,0.11896330863237381,0.0001,14347,,
107727,141,1292,0.44,758,0.7441483750000002,85.56,0.009536304511129856,0.0001,14431,,
108124,142,1296,0.45,756,0.7432054999999997,86.01,0.08461090922355652,0.0001,14530,,
108535,143,1300,0.48,754,0.742229375,86.51,0.008723163977265358,0.0001,14633,,
108947,144,1304,0.53,753,0.7412508750000002,87.08,0.012065025046467781,0.0001,14736,,
109256,145,1308,0.55,752,0.740517,86.8,0.008031118661165237,0.0001,14813,,
109596,146,1312,0.57,750,0.7397095,86.53,0.004366705194115639,0.0001,14898,,
109939,146,1316,0.57,748,0.738894875,86.34,0.002905717585235834,0.0001,14984,,
110275,147,1320,0.56,747,0.7380968750000003,86.33,0.12098970264196396,0.0001,15068,,
110608,148,1324,0.57,745,0.7373059999999999,86.36,0.008990076370537281,0.0001,15151,,
110912,148,1328,0.55,744,0.7365840000000002,86.03,0.005804290995001793,0.0001,15227,,
111228,149,1332,0.55,742,0.7358334999999998,85.6,0.01513909362256527,0.0001,15306,,
111529,150,1336,0.51,741,0.7351186250000001,85.47,0.24797126650810242,0.0001,15382,,
111846,151,1340,0.49,740,0.7343657500000003,85.46,0.008646293543279171,0.0001,15461,,
112206,151,1344,0.5,738,0.73351075,85.69,0.10689008235931396,0.0001,15551,,
112555,152,1348,0.49,737,0.7326818750000001,85.88,0.07424075901508331,0.0001,15638,,
112930,153,1352,0.55,736,0.7317912500000001,86.33,0.17855416238307953,0.0001,15732,,
