rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,rollout/exploration_rate,time/time_elapsed,train/loss,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
0.7,87.05,86349,1048,900,0.794921125,95,0.020123278722167015,9087,0.0001,,
0.7,87.35,86723,1052,896,0.7940328749999997,96,0.005517106503248215,9180,0.0001,,
0.69,87.29,87044,1056,893,0.7932705000000002,97,0.0070202588103711605,9260,0.0001,,
0.66,87.12,87378,1060,890,0.7924772500000001,98,0.006140425801277161,9344,0.0001,,
0.66,87.25,87717,1064,887,0.791672125,98,0.017357852309942245,9429,0.0001,,
0.68,87.74,88080,1068,884,0.7908100000000002,99,0.016080018132925034,9519,0.0001,,
0.68,87.99,88478,1072,880,0.7898647499999999,100,0.00509442575275898,9619,0.0001,,
0.68,88.24,88833,1076,877,0.7890216250000002,101,0.005485017783939838,9708,0.0001,,
0.69,87.99,89150,1080,874,0.7882687499999999,101,0.007953153923153877,9787,0.0001,,
0.61,87.03,89469,1084,871,0.787511125,102,0.06454385817050934,9867,0.0001,,
0.49,85.95,89802,1088,868,0.7867202500000001,103,0.009729355573654175,9950,0.0001,,
0.5,86.3,90167,1092,865,0.7858533749999997,104,0.06390345841646194,10041,0.0001,,
0.47,85.57,90473,1096,863,0.785126625,104,0.06020013615489006,10118,0.0001,,
0.43,85.49,90845,1100,861,0.7842431249999999,105,0.006590714678168297,10211,0.0001,,
0.41,85.32,91197,1104,858,0.7834071250000001,106,0.1507919430732727,10299,0.0001,,
0.44,86.26,91569,1108,855,0.782523625,106,0.053122229874134064,10392,0.0001,,
0.54,87.36,91985,1112,852,0.7815356250000001,107,0.008945900946855545,10496,0.0001,,
0.58,88.13,92364,1116,851,0.7806355000000003,108,0.01605137437582016,10590,0.0001,,
0.56,88.44,92733,1120,848,0.7797591250000001,109,0.004348225425928831,10683,0.0001,,
0.59,89.33,93114,1124,846,0.7788542500000002,110,0.08348926156759262,10778,0.0001,,
0.6,89.5,93471,1128,844,0.7780063749999998,110,0.008492439985275269,10867,0.0001,,
0.61,89.57,93859,1132,841,0.7770848750000002,111,0.010161440819501877,10964,0.0001,,
0.58,88.78,94135,1136,839,0.7764293749999999,112,0.0024448151234537363,11033,0.0001,,
0.6,88.86,94479,1140,837,0.7756123750000001,112,0.003966521006077528,11119,0.0001,,
0.55,88.28,94860,1144,835,0.7747075000000001,113,0.09356626868247986,11214,0.0001,,
0.59,88.79,95228,1148,833,0.7738334999999998,114,0.0056386673822999,11306,0.0001,,
0.59,88.24,95547,1152,830,0.773075875,114,0.009943952783942223,11386,0.0001,,
0.6,88.4,95884,1156,828,0.7722754999999999,115,0.005049656145274639,11470,0.0001,,
0.66,88.84,96262,1160,826,0.7713777499999999,116,0.09750811755657196,11565,0.0001,,
0.69,89.0,96617,1164,824,0.7705346250000001,117,0.0027844824362546206,11654,0.0001,,
0.66,88.68,96948,1168,822,0.7697485,117,0.007649441249668598,11736,0.0001,,
0.62,87.52,97230,1172,819,0.7690787500000003,118,0.004153713583946228,11807,0.0001,,
0.62,87.35,97568,1176,818,0.7682759999999997,119,0.007281235419213772,11891,0.0001,,
0.62,87.46,97896,1180,816,0.7674970000000001,119,0.003891309257596731,11973,0.0001,,
0.65,87.8,98249,1184,814,0.7666586249999999,120,0.008492853492498398,12062,0.0001,,
0.7,88.18,98620,1188,812,0.7657775000000002,121,0.007438629865646362,12154,0.0001,,
0.67,87.68,98935,1192,809,0.765029375,122,0.021742885932326317,12233,0.0001,,
0.72,88.11,99284,1196,807,0.7642005000000002,122,0.2607468366622925,12320,0.0001,,
0.76,88.28,99673,1200,806,0.7632766250000003,123,0.10204142332077026,12418,0.0001,,
0.73,87.87,99984,1204,804,0.7625379999999998,124,0.014600398018956184,12495,0.0001,,
,,100000,,,0.7625023750000002,,0.08793489634990692,12499,0.0001,73.45,0.3
